mouse_id,genotype,trial_key,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,n_social_bouts,trial_SD,threshold_z
376,NE,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,Novel,W1,Entire_trial,299.8394880000001,32,0.10672376815157845,6.403426089094707,3.1146243362858064,2.752814615371429,3,0.9560452044975324,1.9120904089950648
376,NE,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,Novel,W2,Entire_trial,299.84019199999966,43,0.14340972673870236,8.604583604322142,2.933366936272454,2.7642973330272316,13,0.944209602775386,1.888419205550772
398,NE,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,Novel,Preinduction,Entire_trial,299.84003200000006,40,0.13340446815320509,8.004268089192305,2.4994079629721324,2.3522882594874295,1,0.8971543768290677,1.7943087536581355
398,NE,W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,Novel,W1,Entire_trial,299.84000000000015,35,0.11672892209178223,7.003735325506934,2.78280885869986,2.5881476681936086,6,0.9419035947944809,1.8838071895889619
398,NE,W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,Novel,W2,Entire_trial,299.8403839999992,51,0.17009049721601258,10.205429832960755,2.4832383373213234,2.3244024981304787,3,0.9440021803227353,1.8880043606454706
400,NE,Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,Novel,Preinduction,Entire_trial,299.83952000000136,30,0.1000535219640155,6.00321131784093,2.026999710377203,1.9584880182341804,6,0.7903937399567288,1.5807874799134576
400,NE,W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,Novel,W1,Entire_trial,299.8397760000007,27,0.09004809288544804,5.402885573126882,2.3813416090080106,2.3234858736115034,2,0.904523381480678,1.809046762961356
400,NE,W2__ID400_NE__3CT_FP14_2__3CT_W2_C2-Trial____17,Novel,W2,Entire_trial,299.84047999999893,28,0.09338298818091573,5.602979290854943,2.274921939646674,2.152874396817523,14,0.8351789777996482,1.6703579555992965
423,NE,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,Novel,Preinduction,Entire_trial,299.8402239999996,37,0.12339905402418606,7.403943241451164,2.8823808615078645,2.5525100686732984,3,0.9353160851118956,1.8706321702237911
423,NE,W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,Novel,W1,Entire_trial,299.84003200000006,32,0.10672357452256406,6.403414471353844,3.0283185782665907,2.5313887874173533,4,0.9969056713060797,1.9938113426121593
423,NE,W2__ID423_NE__3CT_FP15_1__3CT_W2-Trial____17,Novel,W2,Entire_trial,299.84032000000116,32,0.1067234720133699,6.403408320802194,3.0492659202580956,2.70859594314335,7,1.0351354942743625,2.070270988548725
429,WT,Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,Novel,Preinduction,Entire_trial,299.87974399999985,28,0.09337076131424206,5.602245678854524,2.6459984728226056,2.549357122170483,5,0.9293251932505724,1.8586503865011448
429,WT,W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,Novel,W1,Entire_trial,299.88022400000045,44,0.14672524721069946,8.803514832641968,3.06557406779302,2.860455366473876,5,0.9925098790132819,1.9850197580265638
429,WT,W2__ID429_WT__3CT_FP12_1__3CT_W2-Trial____14,Novel,W2,Entire_trial,299.84044800000083,31,0.10338831937711057,6.203299162626634,3.01285821654902,2.5804954692704793,7,0.9574689705955092,1.9149379411910183
450,NE,Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,Novel,Preinduction,Entire_trial,299.8405759999987,24,0.08004253567068956,4.802552140241374,2.1889462473395667,2.051145920938538,3,0.862198118092214,1.724396236184428
450,NE,W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,Novel,W1,Entire_trial,299.840416,25,0.0833776858153772,5.002661148922632,1.8487929995676302,1.7359087410087022,7,0.7867527184814403,1.5735054369628807
450,NE,W2__ID450_NE__3CT_FP17_3__3CT_W2_C3-Trial____19,Novel,W2,Entire_trial,299.84000000000015,22,0.07337246531483455,4.402347918890072,2.8242923436354492,2.0372958450453673,8,0.851291044845983,1.702582089691966
459,NE,Preinduction__ID459_NE__3CT_FP8_2__3CT_Preinduction_cohort2_FP-Trial____10,Novel,Preinduction,Entire_trial,299.8798079999997,28,0.09337074138716278,5.602244483229767,2.436848785503867,2.351454486746614,6,0.8435374225566212,1.6870748451132425
459,NE,W1__ID459_NE__3CT_FP8_2__3CT_W1_cohort2_FP-Trial____10,Novel,W1,Entire_trial,299.84000000000015,30,0.1000533617929562,6.003201707577372,1.8906768339149365,1.7321278476157151,13,0.7544004659915786,1.5088009319831572
459,NE,W2__ID459_NE__3CT_FP8_2__3CT_W2_C2-Trial____10,Novel,W2,Entire_trial,299.8402560000004,32,0.10672349479317399,6.40340968759044,3.1148567123601243,2.6687974733076136,10,0.9651860461784174,1.9303720923568348
463,WT,Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,Novel,Preinduction,Entire_trial,299.8397760000007,31,0.10338855109069961,6.203313065441977,2.844465689162511,2.7203667727487475,11,0.9094963766714949,1.8189927533429897
463,WT,W1__ID463_WT__3CT_FP5_2__3CT_W1_cohort2_FP-Trial_____7,Novel,W1,Entire_trial,299.8399360000003,26,0.08671293206252544,5.202775923751526,2.6563349105942944,2.4551096490824844,14,0.8825577607653263,1.7651155215306527
463,WT,W2__ID463_WT__3CT_FP5_2__3CT_W2_C2-Trial_____7,Novel,W2,Entire_trial,299.8401279999998,34,0.1133937616248617,6.803625697491702,2.4040405937675757,2.1291009271750267,10,0.8704625129117821,1.7409250258235642
584,NE,Preinduction__ID584_NE__3CT_FP15_3__3CT_Preinduction_C3_check_arena_settings-Trial____17,Novel,Preinduction,Entire_trial,299.8401279999998,38,0.12673420416896308,7.604052250137785,3.2225737387662146,3.067650790441223,5,1.006883602583874,2.013767205167748
584,NE,W1__ID584_NE__3CT_FP14_3__3CT_W1_C3-Trial____17,Novel,W1,Entire_trial,299.8400959999999,40,0.13340443967840784,8.00426638070447,2.7968420594692587,2.692828115329508,10,0.9105138993172001,1.8210277986344001
584,NE,W2__ID584_NE__3CT_FP14_3__3CT_W2_C3-Trial____16,Novel,W2,Entire_trial,299.8404800000026,52,0.1734255494788414,10.405532968730483,2.767054257847664,2.7983742455848937,14,0.952820616447137,1.905641232894274
597,NE,Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,Novel,Preinduction,Entire_trial,299.88086399999884,46,0.15339424925759912,9.203654955455947,2.6286408210525924,2.489894717927747,4,0.9519935311854602,1.9039870623709203
597,NE,W1__ID597_NE__3CT_FP31_3__3CT_W1_C3-Trial____36,Novel,W1,Entire_trial,299.8402239999996,51,0.1700905879792835,10.20543527875701,2.7226114408284854,2.48394005670815,6,0.9826266460495351,1.9652532920990702
597,NE,W2__ID597_NE__3CT_FP26_3__3CT_W2_C3-Trial____28,Novel,W2,Entire_trial,299.88022400000045,52,0.17340256488537212,10.404153893122327,2.734733721588827,2.6056705433379834,9,0.9633903598037317,1.9267807196074633
372,NE,Preinduction__ID372_NE__3CT_FP_2_1__3CT_Preinduction-Trial_____8,Social,Preinduction,Entire_trial,299.83971199999996,44,0.14674507158011146,8.804704294806688,2.98700624327446,2.7752003550242166,3,1.0244801831189887,2.0489603662379774
372,NE,W1__ID372_NE__3CT_FP4_1__3CT_W1_retracked-Trial_____7,Social,W1,Entire_trial,299.8399359999994,34,0.11339383423561053,6.803630054136632,2.5462025251543703,2.3168498702405493,6,0.9002328190578958,1.8004656381157915
372,NE,W2__ID372_NE__3CT_FP4_1__3CT_W2-Trial_____6,Social,W2,Entire_trial,299.87990400000035,33,0.11004405283523087,6.602643170113852,2.8486475767579895,2.5736688522498876,7,0.9655113633790136,1.931022726758027
374,WT,Preinduction__ID374_WT__3CT_FP_5_1__3CT_Preinduction-Trial____11,Social,Preinduction,Entire_trial,299.83967999999913,41,0.13673974038392822,8.204384423035693,2.9441894518010834,2.6717996870217355,9,0.9561263276359927,1.9122526552719854
374,WT,W1__ID374_WT__3CT_FP7_1__3CT_W1_retracked-Trial____10,Social,W1,Entire_trial,299.84003200000006,46,0.15341513837618584,9.20490830257115,3.049050970294423,2.8421285911833074,4,1.0668830183120332,2.1337660366240665
374,WT,W2__ID374_WT__3CT_FP8_1__3CT_W2-Trial____10,Social,W2,Entire_trial,299.84000000000015,36,0.12006403415154743,7.203842049092845,2.967860843360357,2.607608569771442,10,0.9506328947822632,1.9012657895645264
376,NE,Preinduction__ID376_NE__3CT_FP1_1__3CT_Preinduction-Trial_____3,Social,Preinduction,Entire_trial,299.87984000000006,30,0.10004006938245663,6.002404162947398,3.148711409102062,2.8014437726161248,11,0.9741440890114041,1.9482881780228083
376,NE,W1__ID376_NE__3CT_FP1_1__3CT_W1_retracked-Trial_____4,Social,W1,Entire_trial,299.8796480000001,33,0.11004414677717639,6.602648806630583,3.094438123080785,2.8780428335427897,13,0.9603890714154878,1.9207781428309756
376,NE,W2__ID376_NE__3CT_FP1_1__3CT_W2-Trial_____3,Social,W2,Entire_trial,299.880032,34,0.11337867270869172,6.802720362521503,2.954329540082498,2.6056186112305353,14,0.892560446986507,1.785120893973014
398,NE,Preinduction__ID398_NE__3CT_FP10_2__3CT_Preinduction_cohort2_FP-Trial____12,Social,Preinduction,Entire_trial,299.8403520000011,32,0.10672346062347167,6.4034076374083,3.0973578661992005,2.864701095787221,5,0.9753464622801709,1.9506929245603417
398,NE,W1__ID398_NE__3CT_FP10_2__3CT_W1_cohort2_FP-Trial____12,Social,W1,Entire_trial,299.88025599999855,34,0.11337858801881297,6.802715281128778,2.694762509299401,2.50947367107163,9,0.9301674142626796,1.8603348285253591
398,NE,W2__ID398_NE__3CT_FP10_2__3CT_W2_C2-Trial____12,Social,W2,Entire_trial,299.8400959999999,41,0.13673955067036803,8.204373040222082,2.9606709381240637,2.7214426977003447,8,1.073060498615981,2.146120997231962
400,NE,Preinduction__ID400_NE__3CT_FP13_2__3CT_Preinduction_cohort2_FP-Trial____15,Social,Preinduction,Entire_trial,299.8394560000015,30,0.10005354332019549,6.00321259921173,2.080450867176545,2.0322653900338943,9,0.843025594488674,1.686051188977348
400,NE,W1__ID400_NE__3CT_FP13_2__3CT_W1_cohort2_FP-Trial____15,Social,W1,Entire_trial,299.8399679999984,24,0.08004269797680917,4.80256187860855,2.1714830206542874,2.085947874902315,8,0.7853474306389007,1.5706948612778013
400,NE,W2__ID400_NE__3CT_FP13_2__3CT_W2_C2-Trial____16,Social,W2,Entire_trial,299.8802880000003,34,0.11337857592026845,6.802714555216108,2.1338540022778965,1.8992904106936377,4,0.8308344913539878,1.6616689827079756
423,NE,Preinduction__ID423_NE__3CT_FP_11_1__3CT_Preinduction-Trial____17,Social,Preinduction,Entire_trial,299.8799679999993,36,0.12004803201793088,7.202881921075853,3.184558209159294,2.7959900926801384,13,0.9816478470571033,1.9632956941142066
423,NE,W1__ID423_NE__3CT_FP14_1__3CT_W1_retracked-Trial____17,Social,W1,Entire_trial,299.8402559999995,32,0.10672349479317432,6.403409687590459,2.883108309463597,2.5146978061531264,5,0.9647312427554445,1.929462485510889
423,NE,W2__ID423_NE__3CT_FP14_1__3CT_W2-Trial____16,Social,W2,Entire_trial,299.8402879999994,40,0.13340435425408903,8.004261255245343,3.2264724108716494,3.0205159392412275,11,0.9794026607603642,1.9588053215207284
429,WT,Preinduction__ID429_WT__3CT_FP_8_1__3CT_Preinduction-Trial____14,Social,Preinduction,Entire_trial,299.8798399999996,31,0.10337473836187201,6.202484301712321,2.7885361001462208,2.650644624119666,11,0.9460758836289828,1.8921517672579655
429,WT,W1__ID429_WT__3CT_FP11_1__3CT_W1_retracked-Trial____14,Social,W1,Entire_trial,299.8402240000014,43,0.14340971143351267,8.60458268601076,2.729546738689141,2.5107763595868837,11,0.9845936877819323,1.9691873755638647
429,WT,W2__ID429_WT__3CT_FP11_1__3CT_W2-Trial____13,Social,W2,Entire_trial,299.84019199999966,19,0.0633670885589615,3.8020253135376905,3.223088314976022,2.9010787225435934,13,1.0170686960395037,2.0341373920790073
450,NE,Preinduction__ID450_NE__3CT_FP18_3__3CT_Preinduction_C3_check_arena_settings-Trial____20,Social,Preinduction,Entire_trial,299.84019199999966,24,0.08004263817974085,4.802558290784451,2.2774414802298963,2.156960485136934,13,0.970609157484111,1.941218314968222
450,NE,W1__ID450_NE__3CT_FP20_3__3CT_W1_C3-Trial____24,Social,W1,Entire_trial,299.8806400000003,25,0.08336650208562972,5.001990125137783,2.2688970691303854,2.1378954191452895,15,0.9256820745024035,1.851364149004807
450,NE,W2__ID450_NE__3CT_FP16_3__3CT_W2_C3-Trial____18,Social,W2,Entire_trial,299.8400959999999,16,0.053361775871363135,3.201706552281788,2.5852409410568367,2.0734363723557294,19,0.8978523481089732,1.7957046962179464
459,NE,Preinduction__ID459_NE__3CT_FP7_2__3CT_Preinduction_cohort2_FP-Trial_____9,Social,Preinduction,Entire_trial,299.87974399999985,29,0.09670543136117929,5.8023258816707575,2.4440417336917344,2.187699172774731,7,0.8155970243908823,1.6311940487817647
459,NE,W1__ID459_NE__3CT_FP7_2__3CT_W1_cohort2_FP-Trial_____9,Social,W1,Entire_trial,299.8801919999996,42,0.14005593273729813,8.403355964237887,1.9994351908311074,1.8737074230781987,8,0.7472934464723205,1.494586892944641
459,NE,W2__ID459_NE__3CT_FP7_2__3CT_W2_C2-Trial_____9,Social,W2,Entire_trial,299.84047999999984,35,0.11672873522614431,7.0037241135686585,2.5939657646948953,2.3543719124138525,13,0.8577524770038104,1.7155049540076208
463,WT,Preinduction__ID463_WT__3CT_FP4_2__3CT_Preinduction_cohort2_FP-Trial_____6,Social,Preinduction,Entire_trial,299.83987200000047,26,0.08671295057116339,5.202777034269803,3.042349295067219,2.8024359860081094,4,0.9619250992944772,1.9238501985889545
463,WT,W1__ID463_WT__3CT_FP4_2__3CT_W1_cohort2_FP-Trial_____6,Social,W1,Entire_trial,299.8398079999997,23,0.07670762649367766,4.602457589620659,2.8756698655326085,2.6030014651305735,16,0.9603424702475231,1.9206849404950461
463,WT,W2__ID463_WT__3CT_FP4_2__3CT_W2_C2-Trial_____6,Social,W2,Entire_trial,299.84038399999963,30,0.10005323365647784,6.00319401938867,2.580878288314705,2.3848478067872296,7,0.9052923156208895,1.810584631241779
584,NE,Preinduction__ID584_NE__3CT_FP14_3__3CT_Preinduction_C3_check_arena_settings-Trial____16,Social,Preinduction,Entire_trial,299.8799680000011,57,0.19007605069505606,11.404563041703364,2.7027345818748802,2.391569860165392,13,0.970974999876071,1.941949999752142
584,NE,W1__ID584_NE__3CT_FP13_3__3CT_W1_C3-Trial____16,Social,W1,Entire_trial,299.8402560000013,46,0.15341502376518715,9.20490142591123,2.53930594073422,2.4858815684758615,15,0.9380706204720255,1.876141240944051
584,NE,W2__ID584_NE__3CT_FP13_3__3CT_W2_C3-Trial____15,Social,W2,Entire_trial,299.84044800000083,46,0.15341492552732536,9.204895531639522,2.59842612420818,2.595299929653861,20,0.9636023354676693,1.9272046709353385
597,NE,Preinduction__ID597_NE__3CT_FP28_3__3CT_Preinduction_C3_check_arena_settings-Trial____30,Social,Preinduction,Entire_trial,299.84092800000144,43,0.14340937472018428,8.604562483211057,2.674627054146039,2.4269711009320334,17,0.958037768146998,1.916075536293996
597,NE,W1__ID597_NE__3CT_FP30_3__3CT_W1_C3-Trial____35,Social,W1,Entire_trial,299.8399680000002,41,0.13673960904371485,8.20437654262289,2.753948542321477,2.5557645451221185,15,0.9148633862820728,1.8297267725641455
597,NE,W2__ID597_NE__3CT_FP25_3__3CT_W2_C3-Trial____27,Social,W2,Entire_trial,299.8803200000002,38,0.12671721838898922,7.603033103339353,2.8600011363409608,2.588172481278402,11,0.9640391507979509,1.9280783015959018
450,NE,Preinduction__ID450_NE__3CT_FP16_3__3CT_Preinduction_C3_check_arena_settings-Trial____18,Hab,Preinduction,Social_interaction,9.440000000000005,0,0.0,0.0,,,5,0.9402526306906152,1.8805052613812303
450,NE,W1__ID450_NE__3CT_FP19_3__3CT_W1_C3-Trial____23,Hab,W1,Social_interaction,6.179999999999989,0,0.0,0.0,,,8,0.8757881998804824,1.7515763997609648
450,NE,W2__ID450_NE__3CT_FP15_3__3CT_W2_C3-Trial____17,Hab,W2,Social_interaction,18.140000000000136,3,0.1653803748621818,9.922822491730908,1.5548658291326156,1.5688843530342953,13,0.6258072709856772,1.2516145419713545
584,NE,Preinduction__ID584_NE__3CT_FP13_3__3CT_Preinduction_C3_check_arena_settings-Trial____15,Hab,Preinduction,Social_interaction,15.059999999999981,8,0.53120849933599,31.8725099601594,2.978655039125542,2.943491213158058,4,0.8728693674432908,1.7457387348865816
584,NE,W1__ID584_NE__3CT_FP12_3__3CT_W1_C3-Trial____15,Hab,W1,Social_interaction,56.50000000000004,11,0.19469026548672552,11.681415929203531,2.3167886939941984,2.164978039199143,8,0.8840653218576864,1.7681306437153728
584,NE,W2__ID584_NE__3CT_FP12_3__3CT_W2_C3-Trial____14,Hab,W2,Social_interaction,49.679999999999986,13,0.2616747181964574,15.700483091787444,2.6508227479633315,2.586637383878836,10,0.9922507762994653,1.9845015525989307
597,NE,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,Hab,Preinduction,Social_interaction,31.84000000000004,9,0.2826633165829142,16.959798994974854,2.4088503450961456,2.4331237482486827,6,0.9077070296394366,1.8154140592788732
597,NE,W1__ID597_NE__3CT_FP29_3__3CT_W1_C3-Trial____34,Hab,W1,Social_interaction,66.03999999999999,13,0.1968503937007874,11.811023622047244,2.0105222297724175,1.7120071715046967,16,0.6063902605770272,1.2127805211540543
597,NE,W2__ID597_NE__3CT_FP24_3__3CT_W2_C3-Trial____26,Hab,W2,Social_interaction,18.02000000000001,4,0.22197558268590442,13.318534961154265,2.8697926736294495,3.0172257882847795,8,0.9751571082434394,1.9503142164868787
372,NE,Preinduction__ID372_NE__3CT_FP_3_1__3CT_Preinduction-Trial_____9,Novel,Preinduction,Social_interaction,25.93999999999999,10,0.3855050115651505,23.130300693909028,3.2172300133488427,3.3141373713083424,5,0.9606800497268806,1.9213600994537612
372,NE,W1__ID372_NE__3CT_FP5_1__3CT_W1_retracked-Trial_____8,Novel,W1,Social_interaction,12.584000000000032,0,0.0,0.0,,,3,0.9854969270015328,1.9709938540030656
372,NE,W2__ID372_NE__3CT_FP6_1__3CT_W2-Trial_____8,Novel,W2,Social_interaction,2.0800000000000125,1,0.4807692307692279,28.846153846153673,5.082585913962075,5.082585913962075,2,0.9538045488226591,1.9076090976453182
374,WT,Preinduction__ID374_WT__3CT_FP_6_1__3CT_Preinduction-Trial____12,Novel,Preinduction,Social_interaction,10.860000000000028,2,0.18416206261510082,11.04972375690605,3.2823995246837883,3.2823995246837883,5,0.96902984213196,1.93805968426392
374,WT,W1__ID374_WT__3CT_FP9_1__3CT_W1_retracked-Trial____12,Novel,W1,Social_interaction,9.544000000000011,1,0.10477787091366292,6.286672254819775,3.797275300131066,3.797275300131066,2,0.9898588560628124,1.9797177121256249
374,WT,W2__ID374_WT__3CT_FP9_1__3CT_W2-Trial____11,Novel,W2,Social_interaction,19.72,7,0.3549695740365112,21.29817444219067,3.428068499011438,3.0264165501419833,6,0.9537072262061942,1.9074144524123884
376,NE,Preinduction__ID376_NE__3CT_FP2_1__3CT_Preinduction-Trial_____4,Novel,Preinduction,Social_interaction,16.200000000000014,8,0.49382716049382674,29.629629629629605,3.1557777596437107,2.6450362045314773,7,0.9652525621404914,1.9305051242809828
376,NE,W1__ID376_NE__3CT_FP2_1__3CT_W1_retracked-Trial_____5,Novel,W1,Social_interaction,10.282999999999987,5,0.48623942429252226,29.174365457551335,3.682564271410521,3.2043322885114534,3,0.9560452044975324,1.9120904089950648
376,NE,W2__ID376_NE__3CT_FP2_1__3CT_W2-Trial_____4,Novel,W2,Social_interaction,46.45999999999995,12,0.2582866982350412,15.49720189410247,3.0613257026314713,2.44359119987182,13,0.944209602775386,1.888419205550772
398,NE,Preinduction__ID398_NE__3CT_FP11_2__3CT_Preinduction_cohort2_FP-Trial____13,Novel,Preinduction,Social_interaction,2.040999999999997,3,1.4698677119059307,88.19206271435584,2.8254059721064526,3.1553022529143533,1,0.8971543768290677,1.7943087536581355
398,NE,W1__ID398_NE__3CT_FP11_2__3CT_W1_cohort2_FP-Trial____13,Novel,W1,Social_interaction,35.120000000000005,16,0.4555808656036446,27.334851936218676,2.971806623877642,2.9510417302779492,6,0.9419035947944809,1.8838071895889619
398,NE,W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,Novel,W2,Social_interaction,31.179999999999993,7,0.22450288646568317,13.47017318794099,2.6725742211011556,2.640564775229131,3,0.9440021803227353,1.8880043606454706
400,NE,Preinduction__ID400_NE__3CT_FP14_2__3CT_Preinduction_cohort2_FP-Trial____16,Novel,Preinduction,Social_interaction,50.055999999999976,2,0.03995525011986577,2.397315007191946,1.9837666211057443,1.9837666211057443,6,0.7903937399567288,1.5807874799134576
400,NE,W1__ID400_NE__3CT_FP14_2__3CT_W1_cohort2_FP-Trial____16,Novel,W1,Social_interaction,40.53999999999999,3,0.07400098667982241,4.440059200789345,2.553758709611842,2.5709760615881136,2,0.904523381480678,1.809046762961356
400,NE,W2__ID400_NE__3CT_FP14_2__3CT_W2_C2-Trial____17,Novel,W2,Social_interaction,93.63999999999997,2,0.02135839384878258,1.2815036309269547,2.011689097608876,2.011689097608876,14,0.8351789777996482,1.6703579555992965
423,NE,Preinduction__ID423_NE__3CT_FP_12_1__3CT_Preinduction-Trial____18,Novel,Preinduction,Social_interaction,16.80000000000001,4,0.23809523809523794,14.285714285714276,2.9097088444056256,2.550977090216042,3,0.9353160851118956,1.8706321702237911
423,NE,W1__ID423_NE__3CT_FP16_1__3CT_W1_retracked-Trial____18,Novel,W1,Social_interaction,35.33199999999998,10,0.2830295482848411,16.981772897090465,3.6629135458657287,2.9817391588137534,4,0.9969056713060797,1.9938113426121593
423,NE,W2__ID423_NE__3CT_FP15_1__3CT_W2-Trial____17,Novel,W2,Social_interaction,18.399999999999977,5,0.2717391304347829,16.304347826086975,3.9426691222848804,3.1349594162899184,7,1.0351354942743625,2.070270988548725
429,WT,Preinduction__ID429_WT__3CT_FP_9_1__3CT_Preinduction-Trial____15,Novel,Preinduction,Social_interaction,20.799999999999997,3,0.14423076923076925,8.653846153846155,3.346621383893148,3.2171116633594403,5,0.9293251932505724,1.8586503865011448
429,WT,W1__ID429_WT__3CT_FP12_1__3CT_W1_retracked-Trial____15,Novel,W1,Social_interaction,38.69199999999997,10,0.25845135945415093,15.507081567249056,3.2075165928447857,3.185653998913801,5,0.9925098790132819,1.9850197580265638
429,WT,W2__ID429_WT__3CT_FP12_1__3CT_W2-Trial____14,Novel,W2,Social_interaction,18.87999999999994,8,0.4237288135593234,25.423728813559404,3.2971051172598695,2.957236817413659,7,0.9574689705955092,1.9149379411910183
450,NE,Preinduction__ID450_NE__3CT_FP19_3__3CT_Preinduction_C3_check_arena_settings-Trial____21,Novel,Preinduction,Social_interaction,7.78000000000003,0,0.0,0.0,,,3,0.862198118092214,1.724396236184428
450,NE,W1__ID450_NE__3CT_FP21_3__3CT_W1_C3-Trial____25,Novel,W1,Social_interaction,51.45999999999995,0,0.0,0.0,,,7,0.7867527184814403,1.5735054369628807
